id,year,day,month,location,comments,date,OSGridRef,latitude,longitude,Nation
156,1115,8,Dec,St Albans,Appears as 25-8 Dec,8-12-1115,TL1480007300,51.752638,-0.33830962,England
157,1116,2,Feb,Windsor,,2-2-1116,SU9683776912,51.482886,-0.60683638,England
158,1116,19,Mar,Salisbury,,19-3-1116,SU1428229527,51.064904,-1.7975682,England
159,1116,2,Apr,Odiham,,2-4-1116,SU7410151081,51.25409,-0.93957,England
161,1116,8,Sept,Rouen,,8-9-1116,,49.442778,1.088611,France
162,1117,,June-July,Rouen,,1117,,49.442778,1.088611,France
163,1118,,Feb,Saint-Clair-sur-Epte,,2-1118,,49.2081,1.6803,France
164,1118,,July-Avg,Saint-Clair-sur-Epte,,1118,,49.2081,1.6803,France
165,1118,23,July,Alen�on,,23-7-1118,,48.4306,0.0931,France
166,1118,24,July,Alen�on,,24-7-1118,,48.4306,0.0931,France
167,1118,25,July,Alen�on,,25-7-1118,,48.4306,0.0931,France
168,1118,26,July,Alen�on,,26-7-1118,,48.4306,0.0931,France
169,1118,27,July,Alen�on,,27-7-1118,,48.4306,0.0931,France
170,1118,28,July,Alen�on,,28-7-1118,,48.4306,0.0931,France
171,1118,29,July,Alen�on,,29-7-1118,,48.4306,0.0931,France
172,1118,30,July,Alen�on,,30-7-1118,,48.4306,0.0931,France
173,1118,31,July,Alen�on,,31-7-1118,,48.4306,0.0931,France
174,1118,7,Sept,Laigle,,7-9-1118,,48.77,0.63,France
175,1118,8,Sept,Laigle,,8-9-1118,,48.77,0.63,France
176,1118,,Sept,Livet,,9-1118,,48.1086,-0.4603,France
177,1118,,Sept,Rouen,,9-1118,,49.442778,1.088611,France
178,1118,,Sept,Neubourg,,9-1118,,49.149,0.904,France
179,1118,,Sept,Arques,,9-1118,,49.8817,1.1269,France
180,1118,,Sept,Bures,,9-1118,,48.5639,0.4022,France
181,1118,7,Oct,Rouen,,7-10-1118,,49.442778,1.088611,France
182,1118,,Oct-Nov,Near �vreux,,1118,,49.02,1.15,France
183,1118,,,Laigle,,1118,,48.77,0.63,France
184,1118,,Dec,Near Alen�on,,12-1118,,48.4306,0.0931,France
185,1119,16,Feb,Br�teuil,,16-2-1119,,48.8369,0.9147,France
186,1119,17,Feb,Br�teuil,,17-2-1119,,48.8369,0.9147,France
187,1119,18,Feb,Br�teuil,,18-2-1119,,48.8369,0.9147,France
188,1119,19,Feb,Br�teuil,,19-2-1119,,48.8369,0.9147,France
189,1119,20,Feb,Br�teuil,,20-2-1119,,48.8369,0.9147,France
190,1119,21,Feb,Br�teuil,,21-2-1119,,48.8369,0.9147,France
191,1119,22,Feb,Br�teuil,,22-2-1119,,48.8369,0.9147,France
192,1119,,,Falaise,,1119,,48.897222,-0.1975,France
193,1119,,Feb-Mar,Noyon (Eure),,1119,,49.3717,1.3839,France
194,1119,17,May,La-Fert�-Fresnel,"appears as ""p 17 May""",17-5-1119,,48.8422,0.5117,France
195,1119,,June,Lisieux,,6-1119,,49.15,0.23,France
